"sex";"age";"nationality";"politics";"WasonOrder";"Harm";"Fairness";"Loyalty";"Authority";"Purity";"Tasktype";"GotRight"
"Female";36;"USA";3;"After";4;4;3.25;3;4.5;"Control_deontic";"Wrong"
"Female";21;"USA";2;"Before";5;4.5;2.75;4;5.25;"Control_deontic";"Wrong"
"Male";27;"USA";2;"Before";4.5;5.5;2;2.25;1.25;"Loyalty";"Wrong"
"Male";22;"USA";3;"Before";5;5;3.75;3;4.75;"Control_descriptive";"Wrong"
"Male";34;"USA";4;"After";4.75;4.5;3.75;4.5;3.5;"Control_deontic";"Wrong"
"Male";28;"USA";5;"After";4.5;4.25;4.25;4.25;4;"Harm";"Wrong"
"Male";19;"USA";4;"After";4.25;3.75;4.25;3.5;4;"Authority";"Right"
"Female";30;"USA";5;"Before";3.5;4.25;3.75;4;2.75;"Fairness";"Wrong"
"Male";27;"USA";3;"After";5.25;5;3.5;4.25;4;"Purity";"Wrong"
"Male";31;"USA";4;"After";3.25;5;4.25;4.25;3.75;"Purity";"Wrong"
"Male";25;"USA";NA;"Before";4.25;5.25;2.25;1.25;1.5;"Fairness";"Wrong"
"Female";38;"USA";3;"After";5.5;5.75;2.75;3.75;2.5;"Loyalty";"Right"
"Male";42;"USA";2;"Before";4;4.25;2.5;2.5;2.75;"Control_descriptive";"Right"
"Female";41;"India";5;"After";4.5;4;4;5;4.25;"Control_descriptive";"Wrong"
"Female";31;"USA";5;"Before";5;4.5;3.75;5;5.5;"Control_descriptive";"Right"
"Female";68;"USA";5;"Before";4.75;5.5;3.5;3.5;4.75;"Loyalty";"Wrong"
"Male";35;"USA";4;"Before";4;4;4;4;4;"Purity";"Wrong"
"Female";59;"USA";5;"After";5.25;5.25;3.25;4;3.5;"Control_deontic";"Wrong"
"Female";32;"USA";3;"Before";5.5;6;2.75;3.75;4.5;"Control_descriptive";"Wrong"
"Female";28;"USA";2;"After";5.75;5.5;2.75;3;2;"Harm";"Right"
"Female";34;"USA";2;"After";4.75;4.5;3.5;4;3.75;"Harm";"Right"
"Female";41;"USA";2;"Before";4.75;4;2.75;3.75;2;"Harm";"Right"
"Male";23;"USA";3;"After";4.75;5;4.25;4.5;4.5;"Fairness";"Wrong"
"Male";37;"USA";2;"Before";5;5;2.75;2.75;2.25;"Purity";"Wrong"
"Female";21;"USA";1;"Before";4.75;5.25;1.25;1.25;1.5;"Harm";"Wrong"
"Male";26;"USA";3;"Before";4;3.75;4.25;3.25;3.75;"Harm";"Right"
"Male";29;"USA";3;"Before";5;5.5;4;5;5;"Harm";"Wrong"
"Female";18;"USA";2;"Before";4.75;5;2;2.25;2.25;"Purity";"Right"
"Female";19;"USA";2;"After";5.25;5;2.75;2.5;3;"Purity";"Right"
"Male";22;"USA";2;"Before";4.75;5;3.75;5.25;4.5;"Fairness";"Wrong"
"Male";21;"USA";2;"Before";5.5;5.25;3.25;3.5;3.75;"Authority";"Right"
"Female";23;"USA";4;"After";4.5;4.25;4;4.5;4;"Loyalty";"Wrong"
"Male";22;"USA";4;"Before";4.25;4.5;4.25;3.25;3.25;"Loyalty";"Wrong"
"Female";30;"USA";2;"Before";6;6;3.75;2.75;2;"Purity";"Wrong"
"Male";21;"USA";2;"Before";2.75;4.5;3.5;3.75;4.5;"Authority";"Wrong"
"Male";21;"USA";3;"After";3.75;4;4.25;3;3.75;"Purity";"Right"
"Male";24;"USA";1;"Before";4.25;4;2.25;1.5;1;"Loyalty";"Right"
"Female";42;"USA";1;"Before";4.25;4.75;3.75;3.75;2;"Authority";"Wrong"
"Male";32;"USA";2;"Before";3.75;4.25;3;2.5;2.25;"Loyalty";"Wrong"
"Female";29;"USA";2;"After";5;5;4.25;3.5;2.25;"Harm";"Right"
"Male";32;"Other";4;"Before";3.75;4.5;3.75;4;2;"Authority";"Right"
"Male";31;"USA";1;"Before";4.25;4.5;2;1.25;1;"Control_descriptive";"Wrong"
"Male";34;"USA";2;"Before";5.75;6;4.25;4.5;6;"Purity";"Wrong"
"Male";31;"USA";3;"After";4.75;5;3.5;4.75;3.5;"Control_descriptive";"Wrong"
"Male";29;"USA";4;"After";3.25;5;4.5;4.25;3.75;"Authority";"Wrong"
"Male";24;"USA";6;"Before";4.75;5;4;5;4.5;"Control_descriptive";"Wrong"
"Male";33;"USA";3;"Before";5.25;5;4.5;4;3.5;"Purity";"Wrong"
"Female";28;"USA";2;"Before";5;4.75;3.5;3.25;4.75;"Control_descriptive";"Wrong"
"Female";48;"USA";2;"After";5.75;6;4;4.5;5.75;"Authority";"Wrong"
"Male";19;"USA";3;"After";5;4.5;3.75;4.25;4;"Authority";"Right"
"Male";24;"USA";4;"Before";5.75;4.5;3.5;4.25;4.75;"Control_deontic";"Wrong"
"Male";30;"USA";4;"Before";2.5;4.25;1.75;2;1.25;"Loyalty";"Right"
"Male";40;"USA";1;"Before";5;4.25;2.5;1.75;1;"Purity";"Wrong"
"Male";22;"USA";3;"Before";4.25;5;3.75;4;3.5;"Loyalty";"Wrong"
"Female";51;"USA";4;"Before";4;4;4.5;3.25;3;"Loyalty";"Wrong"
"Female";20;"USA";5;"Before";4.5;3.5;4.5;2.5;3;"Purity";"Wrong"
"Female";47;"USA";5;"Before";4.25;5.5;1.75;1.5;1;"Purity";"Right"
"Female";52;"USA";6;"After";5.75;5.75;5.25;6;5.5;"Fairness";"Wrong"
"Female";27;"USA";3;"After";5.25;5;2;3.25;3;"Harm";"Wrong"
"Female";31;"USA";2;"After";4.25;4.5;3;2.25;1.5;"Fairness";"Right"
"Female";24;"India";5;"After";4.75;6;5;4.25;4.25;"Harm";"Wrong"
"Female";24;"USA";3;"After";5.25;4.5;3;4.25;4.5;"Loyalty";"Right"
"Male";23;"USA";4;"After";3.75;4;4.25;3.25;3.5;"Control_descriptive";"Wrong"
"Female";56;"USA";1;"Before";3.25;5;3.5;3.5;3.75;"Fairness";"Wrong"
"Female";26;"USA";2;"After";4.5;4.25;3.25;3.25;3.75;"Harm";"Right"
"Male";24;"USA";1;"After";4.25;4.75;2.5;2.5;3;"Fairness";"Right"
"Male";33;"USA";3;"Before";5.25;5;4.75;4.25;5.25;"Harm";"Wrong"
"Female";25;"USA";2;"After";5.75;6;1.75;2;1.25;"Control_deontic";"Wrong"
"Female";52;"USA";4;"After";6;6;5.5;4.5;4.75;"Harm";"Wrong"
"Male";21;"India";6;"After";5;2.75;4;4.75;4.25;"Control_descriptive";"Wrong"
"Male";44;"USA";6;"After";4.25;4.5;3;4.5;5.25;"Control_descriptive";"Right"
"Female";35;"USA";2;"After";5;5;3.5;4.25;4;"Control_descriptive";"Wrong"
"Male";20;"USA";3;"Before";4.75;4.75;2.75;2.25;2.5;"Purity";"Right"
"Male";46;"USA";5;"After";4.75;5;5.25;4.75;4.75;"Authority";"Right"
"Female";27;"USA";5;"Before";5.25;5.5;3.25;4.25;3;"Control_descriptive";"Wrong"
"Male";22;"USA";3;"After";4.25;4.75;3.5;3;1.75;"Control_descriptive";"Wrong"
"Female";60;"USA";4;"Before";4;5;3.25;4.5;4;"Harm";"Wrong"
"Female";33;"USA";3;"Before";4.75;5;3;3;1.75;"Authority";"Wrong"
"Male";37;"USA";2;"After";4.75;4.75;5.5;5;2.75;"Purity";"Wrong"
"Female";42;"USA";3;"Before";6;5.25;2.5;2.5;2.5;"Harm";"Wrong"
"Male";43;"USA";6;"After";4;4;3.75;3.5;5.25;"Purity";"Right"
"Female";27;"USA";3;"Before";4.5;5;3;3.5;3.5;"Fairness";"Right"
"Female";23;"India";5;"After";5;4.5;4.25;4.75;4.75;"Fairness";"Wrong"
"Female";60;"USA";1;"Before";6;6;3.25;4;4.5;"Purity";"Right"
"Male";35;"Other";1;"Before";3;5.75;3;1.75;1.25;"Control_deontic";"Wrong"
"Female";27;"USA";1;"Before";6;6;2.75;1.75;3.75;"Loyalty";"Right"
"Male";31;"USA";2;"After";4.25;4.25;3.25;5.25;3;"Control_descriptive";"Wrong"
"Female";22;"USA";3;"After";4.25;5.75;4.25;2.25;4.5;"Harm";"Right"
"Male";38;"USA";3;"Before";4.25;3.75;2.75;3.75;4;"Control_descriptive";"Wrong"
"Male";32;"USA";3;"Before";4.75;5;2.75;2;1;"Purity";"Wrong"
"Male";54;"USA";1;"After";4.5;4.5;3.25;3.25;2.5;"Control_deontic";"Wrong"
"Male";36;"USA";3;"Before";5;4.75;2.5;2.75;1.75;"Harm";"Right"
"Male";26;"USA";2;"Before";5;5;3.25;2.5;2.25;"Purity";"Wrong"
"Female";38;"USA";2;"Before";5;4.75;2.75;2;1.75;"Authority";"Right"
"Female";27;"USA";3;"Before";4.25;5;3.25;4.25;3.25;"Control_deontic";"Right"
"Male";34;"USA";2;"After";4.5;4.75;2.25;1.25;1;"Purity";"Right"
"Male";26;"USA";3;"Before";4.75;5;3.25;4.5;4.5;"Purity";"Wrong"
"Male";30;"USA";3;"Before";5.25;5.25;3;4;3.75;"Fairness";"Wrong"
"Male";26;"USA";2;"Before";5;5.5;2.75;2.5;2.75;"Fairness";"Right"
"Male";25;"USA";4;"Before";4.25;4.25;3.25;3.75;4;"Loyalty";"Wrong"
"Male";27;"India";6;"After";4.5;4.75;5.25;4.75;5.5;"Fairness";"Wrong"
"Male";31;"USA";3;"After";5.5;5.5;4.25;4;3.25;"Control_deontic";"Right"
"Female";23;"India";4;"After";4;4.5;5;5;2.75;"Purity";"Wrong"
"Female";25;"USA";2;"Before";3.5;4.25;2.75;2.25;2;"Purity";"Right"
"Female";23;"USA";3;"Before";4.5;3.75;4.25;4.5;4.75;"Control_descriptive";"Wrong"
"Male";28;"USA";2;"Before";5;4.5;3.25;3.25;2.25;"Fairness";"Right"
"Female";40;"USA";4;"Before";3.75;4;3.75;4.25;2;"Harm";"Wrong"
"Male";53;"USA";1;"After";5;5.25;3;2.75;2.75;"Harm";"Wrong"
"Male";34;"USA";3;"Before";4.75;4.75;3.25;3.5;2;"Harm";"Right"
"Female";24;"USA";4;"Before";2;1.75;2.5;2.5;1.75;"Control_deontic";"Wrong"
"Male";20;"USA";2;"Before";5.5;5.5;2.75;2.25;2.5;"Control_descriptive";"Wrong"
"Male";23;"USA";3;"Before";3.5;4.5;2.5;2.75;3.75;"Harm";"Wrong"
"Female";26;"USA";2;"Before";4.5;4.5;3;3.25;2.75;"Harm";"Wrong"
"Female";20;"USA";3;"Before";3.25;4;2.25;3.5;2.75;"Purity";"Wrong"
"Male";24;"USA";4;"After";5.5;5.5;5;5;4.75;"Loyalty";"Wrong"
"Female";51;"USA";6;"After";5.75;6;3.75;5.25;5;"Control_descriptive";"Right"
"Female";57;"USA";2;"After";5.25;5.5;4;4.25;5.25;"Fairness";"Wrong"
"Male";25;"USA";5;"Before";4;4.75;5.5;4.5;4.5;"Fairness";"Wrong"
"Male";36;"USA";4;"Before";4.75;4.25;3;1.25;1;"Loyalty";"Right"
"Female";27;"USA";4;"After";5.75;6;2;4.5;3;"Harm";"Right"
"Male";35;"USA";1;"Before";5.25;5.25;2.5;4.25;5.5;"Fairness";"Right"
"Female";37;"USA";2;"After";5.5;5.75;3.5;3.75;2;"Control_descriptive";"Wrong"
"Male";27;"USA";3;"Before";4.75;4.25;4.25;3;4;"Loyalty";"Wrong"
"Female";30;"USA";5;"Before";4.75;5;4.25;4;5.75;"Purity";"Right"
"Male";29;"USA";4;"After";5.25;5.5;5;4.5;5.25;"Control_descriptive";"Wrong"
"Female";53;"USA";4;"After";6;6;5.75;4.25;1;"Authority";"Wrong"
"Male";22;"USA";2;"Before";4.75;5;2;2;1;"Loyalty";"Right"
"Male";21;"USA";2;"Before";3.75;4.75;3.25;3.25;2.25;"Control_deontic";"Wrong"
"Male";28;"USA";4;"Before";4;4.5;4.25;4.5;4.25;"Harm";"Wrong"
"Male";24;"USA";2;"After";5.75;4.5;2.75;2.5;1.5;"Loyalty";"Right"
"Female";56;"USA";1;"Before";5;5;3.25;2.25;1.75;"Authority";"Wrong"
"Male";25;"USA";3;"Before";4.75;5;3;3;2.5;"Fairness";"Right"
"Male";43;"USA";6;"After";5;3.75;4;4.5;4;"Control_deontic";"Wrong"
"Male";26;"USA";3;"Before";5;5.5;4;4.25;4.25;"Authority";"Wrong"
"Male";21;"India";6;"After";5;4.75;5;5;4.25;"Purity";"Wrong"
"Male";31;"USA";3;"After";5.5;6;4.25;3.75;3.5;"Control_descriptive";"Wrong"
"Female";60;"India";5;"After";5.5;5.5;5.5;4.75;4.5;"Purity";"Wrong"
"Female";28;"USA";2;"Before";4.5;4.25;2.25;2.25;2.25;"Loyalty";"Wrong"
"Male";29;"India";5;"After";4.75;5.25;5.5;4.5;4;"Purity";"Wrong"
"Female";40;"USA";6;"After";5.25;5;4.75;5.25;3.75;"Control_descriptive";"Wrong"
"Male";23;"USA";2;"Before";2.25;5;2.75;2;1.5;"Authority";"Wrong"
"Male";41;"USA";3;"Before";5;5.5;2.5;4;1.5;"Harm";"Wrong"
"Female";56;"USA";4;"Before";4.5;4.75;4.75;3.75;1;"Fairness";"Wrong"
"Male";26;"Other";3;"After";3.75;3.5;4.25;4.25;3.5;"Authority";"Right"
"Male";24;"USA";2;"Before";4;4.25;3.25;4.75;2.5;"Authority";"Wrong"
"Female";25;"USA";2;"Before";4.75;5;4;3.25;4.5;"Fairness";"Wrong"
"Female";34;"USA";2;"After";4.25;4;1.75;2;1.5;"Authority";"Right"
"Male";53;"USA";3;"Before";5;5.25;3.5;3.75;3.75;"Harm";"Right"
"Female";60;"USA";1;"After";5.75;5.75;4.25;4.25;1;"Loyalty";"Wrong"
"Male";35;"USA";5;"After";5.25;5.5;6;4.75;4.75;"Loyalty";"Wrong"
"Female";20;"USA";4;"After";4.75;5;3.75;3.5;3.25;"Authority";"Wrong"
"Male";36;"USA";1;"Before";5.5;5.5;2.5;3.25;1.75;"Fairness";"Right"
"Female";55;"USA";1;"After";4.25;4.75;3.75;4.75;4.5;"Control_deontic";"Wrong"
"Male";23;"USA";2;"Before";3.5;4.25;2;1;1;"Control_descriptive";"Wrong"
"Female";56;"USA";4;"Before";4.75;5;4.75;4.75;4.75;"Purity";"Wrong"
"Female";32;"USA";4;"After";3.75;4.5;3;3;3.25;"Purity";"Right"
"Male";36;"USA";1;"Before";3.5;5.5;2.75;3.5;2;"Purity";"Wrong"
"Female";46;"USA";3;"After";6;6;4;4.5;5.25;"Harm";"Wrong"
"Male";20;"USA";1;"Before";4;4.5;3.5;2.5;1;"Fairness";"Wrong"
"Female";24;"USA";3;"After";4;4;2.25;3.5;6;"Control_descriptive";"Wrong"
"Female";45;"USA";4;"Before";3;3.75;2;3.75;2.75;"Harm";"Wrong"
"Female";36;"USA";5;"Before";4.25;4;4;4.25;3.25;"Control_deontic";"Wrong"
"Female";52;"India";6;"After";4.25;5;4.5;4.75;5.25;"Fairness";"Wrong"
"Female";26;"USA";2;"After";4.5;4.75;3.75;4.5;3.75;"Control_descriptive";"Right"
"Male";23;"USA";3;"After";3.75;4;3.75;3.5;3.5;"Harm";"Right"
"Male";29;"USA";2;"After";4.5;4.75;3.75;2.75;3.25;"Harm";"Right"
"Male";63;"USA";2;"Before";5;4.75;4;3.5;1.25;"Loyalty";"Wrong"
"Female";60;"USA";1;"Before";6;6;3.75;2.5;2.5;"Purity";"Right"
"Female";25;"USA";2;"Before";3.5;4;3;2.5;1.5;"Purity";"Right"
"Female";27;"USA";1;"Before";2.75;5.25;2.75;1.75;1.75;"Fairness";"Right"
"Female";45;"USA";3;"After";5.75;5.75;4.5;3;4;"Fairness";"Wrong"
"Female";20;"USA";3;"Before";5;4.25;2.75;4.25;4;"Loyalty";"Right"
"Female";53;"USA";1;"After";5;5.5;3.75;4;4.5;"Purity";"Wrong"
"Male";34;"USA";4;"Before";3.25;5.25;3.5;3;2.25;"Control_descriptive";"Wrong"
"Male";22;"USA";3;"After";5;5.75;2.75;3;2.75;"Control_deontic";"Right"
"Female";36;"USA";2;"After";4;3.25;2.5;2.5;2.75;"Authority";"Wrong"
"Male";37;"USA";4;"After";5;5.5;5.25;5.25;5.75;"Harm";"Right"
"Male";19;"USA";4;"After";4.75;4.75;3.5;4.75;3.75;"Loyalty";"Right"
"Male";22;"USA";3;"After";5;5.25;4.25;4;4.5;"Authority";"Wrong"
"Male";50;"India";2;"After";5;4.5;4.75;4.25;4;"Loyalty";"Right"
"Male";27;"USA";1;"Before";5.25;5.5;3.75;3.5;3.25;"Fairness";"Right"
"Female";66;"USA";6;"After";3.5;5;4;4.75;4;"Fairness";"Right"
"Male";45;"USA";4;"After";4.75;4.75;5;4.75;4.25;"Purity";"Wrong"
"Female";36;"USA";5;"Before";4;4;3.5;3.5;4.75;"Loyalty";"Wrong"
"Male";55;"USA";3;"Before";4;4.25;3.25;4.5;5.5;"Authority";"Right"
"Male";32;"USA";2;"After";4;4.25;3;2.5;2.75;"Control_descriptive";"Wrong"
"Male";43;"USA";2;"Before";4.25;5.5;3.75;4.25;4;"Fairness";"Wrong"
"Female";31;"USA";4;"After";5.75;4.75;3.75;4.25;2.5;"Authority";"Wrong"
"Female";45;"India";4;"After";4.75;4.5;5.5;3.75;4;"Control_descriptive";"Wrong"
"Male";32;"USA";2;"Before";4.25;5;2.25;1.75;1.5;"Control_descriptive";"Wrong"
"Female";25;"Other";3;"After";4.25;4.75;2.5;3.75;2.25;"Harm";"Wrong"
"Female";37;"USA";2;"After";4.5;4.5;2.25;2.25;2;"Control_deontic";"Wrong"
"Male";32;"USA";4;"After";4.75;3.75;4;4.25;4.5;"Control_deontic";"Wrong"
"Female";34;"USA";1;"After";6;6;4.25;3;3.75;"Control_deontic";"Wrong"
"Female";27;"USA";3;"After";5;4.5;3.5;4.25;3.25;"Control_deontic";"Wrong"
"Female";38;"Other";2;"After";5.25;5;3.5;4.25;5;"Authority";"Wrong"
"Male";53;"USA";3;"Before";5;5.5;2.25;2.25;2;"Control_deontic";"Wrong"
"Male";31;"USA";3;"Before";4.75;4.75;4.5;4.75;4.75;"Control_descriptive";"Wrong"
"Female";31;"USA";1;"After";4.25;4.5;3;3;3.5;"Harm";"Right"
"Male";25;"USA";3;"After";5.75;4.25;2.75;2.5;2.75;"Control_descriptive";"Wrong"
"Female";38;"USA";3;"Before";5;4.25;3.75;3.25;2.25;"Harm";"Wrong"
"Female";26;"USA";2;"After";5.25;5.5;4.25;4.75;4.5;"Purity";"Wrong"
"Female";39;"USA";2;"Before";4.5;4;3.5;4.25;3;"Control_deontic";"Wrong"
"Male";35;"USA";4;"Before";4.5;5.25;3.75;4;2.75;"Harm";"Right"
"Male";50;"USA";3;"After";5.25;5.5;4.25;5.5;5.25;"Authority";"Wrong"
"Male";21;"USA";4;"After";5.5;5;3.75;3.5;2.25;"Harm";"Right"
"Male";35;"USA";3;"Before";3.5;4.25;3.25;2.75;1.5;"Loyalty";"Wrong"
"Female";43;"USA";2;"Before";5.75;6;1.75;1.25;1.25;"Fairness";"Wrong"
"Female";26;"USA";1;"Before";2.75;3.5;2.75;4.75;3;"Fairness";"Wrong"
"Male";30;"USA";3;"Before";5;4.5;3.25;3.25;2.25;"Harm";"Right"
"Male";27;"USA";2;"After";5.25;5.25;4;3;1.5;"Harm";"Wrong"
"Female";24;"USA";1;"After";5.25;4.5;2.5;3;1.75;"Control_deontic";"Wrong"
"Female";21;"India";1;"After";3.75;5;3.25;4.75;3;"Authority";"Wrong"
"Male";54;"USA";5;"Before";5.75;5.5;5;5.5;5.25;"Harm";"Wrong"
"Male";55;"USA";2;"After";6;5.75;3.5;4;4.5;"Harm";"Right"
"Female";47;"USA";2;"After";5.75;6;3.5;2.25;2.75;"Authority";"Right"
"Male";31;"USA";4;"Before";4.75;5.25;3.5;3.25;1.75;"Authority";"Right"
"Male";26;"USA";3;"After";5;5.5;3;3;2.5;"Control_deontic";"Right"
"Female";66;"USA";1;"Before";5;4.75;3.5;2.75;3.75;"Harm";"Right"
"Female";30;"USA";3;"Before";5;4.25;3.25;3;2.25;"Control_deontic";"Wrong"
"Male";37;"USA";2;"Before";5;4.75;3.5;4;2.75;"Control_deontic";"Right"
"Male";35;"USA";1;"Before";2.25;5.75;2;2.75;1.75;"Fairness";"Wrong"
"Male";21;"USA";3;"After";5;5.75;4.25;2.75;2;"Harm";"Wrong"
"Male";36;"USA";1;"Before";5;5.25;2;3.25;3;"Authority";"Right"
"Male";25;"India";5;"After";4.75;4.5;4.25;4.5;4.75;"Authority";"Wrong"
"Female";33;"USA";NA;"After";6;5.75;3;2.25;2.75;"Purity";"Wrong"
"Female";33;"USA";3;"Before";2.75;1.75;4.25;4.75;4.5;"Loyalty";"Wrong"
"Female";60;"USA";1;"Before";6;4.25;4;3;3.75;"Purity";"Right"
"Male";24;"USA";1;"Before";5.25;5.25;3.75;4;3.25;"Control_deontic";"Right"
"Male";27;"India";4;"After";3.25;3.25;4;4;1.25;"Authority";"Wrong"
"Female";24;"USA";2;"After";5.25;4.5;3.5;5;4.5;"Fairness";"Right"
"Male";24;"USA";6;"After";4.75;4;4.5;5;5.5;"Loyalty";"Wrong"
"Female";40;"USA";1;"Before";5;4.25;2.5;4.75;4.5;"Fairness";"Right"
"Male";19;"USA";2;"After";4.25;4.25;2.75;4.25;3.75;"Authority";"Wrong"
"Male";26;"USA";3;"Before";6;6;1;2;2.25;"Control_deontic";"Right"
"Female";27;"USA";2;"Before";4.25;4.5;3.75;2.5;3;"Purity";"Right"
"Female";34;"USA";2;"After";5;4.75;2.75;2.75;3.5;"Harm";"Right"
"Female";40;"USA";2;"Before";6;5.25;3.5;2.5;2.75;"Harm";"Wrong"
"Male";54;"USA";1;"Before";4.75;5.5;3.75;4.25;4;"Fairness";"Wrong"
"Male";23;"USA";3;"After";3;3.5;2.25;4.5;3.75;"Purity";"Wrong"
"Male";35;"India";5;"After";5;2.75;5.5;5;2.75;"Loyalty";"Wrong"
"Male";32;"USA";4;"Before";5;4.5;3.5;4.75;4.5;"Loyalty";"Right"
"Male";27;"USA";2;"After";4.5;4.5;2.75;2.5;2.25;"Control_descriptive";"Wrong"
"Male";28;"USA";2;"Before";5.25;5.5;3.75;4.25;3;"Fairness";"Wrong"
"Male";21;"USA";5;"Before";5;5;6;6;5.5;"Control_deontic";"Wrong"
"Female";30;"USA";2;"After";4.25;4.5;2.25;2.5;2.25;"Control_deontic";"Wrong"
"Female";36;"USA";2;"After";6;6;2;1.5;4;"Fairness";"Right"
"Female";29;"USA";1;"Before";5.25;5.25;4.25;4.5;3.75;"Control_deontic";"Right"
"Male";29;"India";6;"After";4.75;5;5.5;5;3;"Loyalty";"Wrong"
"Male";27;"USA";4;"After";2.75;1.25;2;2.25;2.25;"Control_deontic";"Wrong"
"Female";58;"USA";3;"Before";5;5;2.75;2.5;4;"Loyalty";"Right"
"Female";52;"India";6;"After";4.75;5.5;4.25;5.25;4.25;"Purity";"Right"
"Female";23;"USA";2;"After";3.5;4.25;3.25;3.75;3.25;"Control_deontic";"Wrong"
"Male";30;"USA";3;"After";5;3.75;3;3.5;4;"Authority";"Right"
"Male";42;"USA";2;"Before";4.5;3.5;3.25;3.75;3.75;"Fairness";"Wrong"
"Male";30;"USA";3;"Before";6;5.75;3.25;3.5;5.25;"Authority";"Wrong"
"Female";36;"USA";3;"Before";4.25;4.5;3.75;4.25;2.75;"Harm";"Wrong"
"Female";58;"USA";3;"Before";4.25;5.25;4.5;4.5;3.75;"Harm";"Wrong"
"Female";41;"USA";2;"Before";4.5;3.5;3.75;4.25;3.5;"Harm";"Wrong"
"Male";23;"USA";3;"After";3;4;3;3.25;3.75;"Harm";"Wrong"
"Male";31;"USA";1;"After";2.5;4.5;3.25;3.25;3.25;"Loyalty";"Wrong"
"Female";66;"USA";5;"After";4.5;4.5;3.5;3.75;3.5;"Control_descriptive";"Wrong"
"Female";30;"USA";2;"Before";5;4;3.5;3;4;"Control_deontic";"Wrong"
"Male";47;"USA";6;"After";3.75;4;4;3.75;4;"Control_descriptive";"Wrong"
"Male";27;"USA";2;"After";4.5;4.5;4.5;3.5;5.25;"Fairness";"Right"
"Male";50;"USA";5;"Before";6;6;5.75;4.5;5;"Authority";"Right"
"Male";32;"USA";2;"Before";3.5;4;2.5;2.25;2;"Control_deontic";"Wrong"
"Male";27;"USA";4;"After";3.25;4.5;4.5;4.5;4.75;"Fairness";"Wrong"
"Female";30;"USA";5;"Before";4;4.5;4.5;4.75;5.75;"Control_descriptive";"Wrong"
"Female";28;"USA";4;"After";5.75;5;5;3.25;3.75;"Harm";"Wrong"
"Male";45;"USA";4;"Before";4;4.25;5;5.5;5.25;"Loyalty";"Wrong"
"Female";70;"USA";5;"Before";2.75;3.5;2;3.75;2.25;"Control_descriptive";"Wrong"
"Female";29;"USA";5;"Before";3.5;3.75;2.75;3.5;2.5;"Control_descriptive";"Wrong"
"Male";29;"USA";1;"Before";4.25;5.25;2.75;1.75;1;"Fairness";"Right"
"Male";43;"USA";6;"Before";5;5.5;4;4;5.25;"Control_descriptive";"Wrong"
"Male";23;"USA";3;"After";3.75;3.5;3.5;4.5;4.75;"Fairness";"Right"
"Male";26;"USA";4;"After";3.25;5;5.25;4.75;3.5;"Purity";"Wrong"
"Female";39;"USA";3;"After";5.75;5.75;4;3;2;"Control_deontic";"Right"
"Male";28;"USA";4;"Before";4;4.25;3.75;4;3.25;"Loyalty";"Wrong"
"Male";22;"USA";3;"Before";5;4.25;4.25;3.5;3.75;"Loyalty";"Right"
"Male";26;"USA";4;"After";3.25;3.25;4.75;3.5;3.5;"Purity";"Wrong"
"Male";26;"Other";2;"After";3.75;4.25;2.75;2.75;2.75;"Control_descriptive";"Wrong"
"Male";45;"USA";3;"After";5;5.5;4;4.25;3.5;"Fairness";"Right"
"Male";30;"USA";3;"After";3.25;5.5;3.25;2.75;3;"Purity";"Right"
"Male";24;"USA";1;"After";5.25;5.25;3.25;2.25;2;"Authority";"Wrong"
"Male";62;"USA";1;"Before";3.5;5.5;2.75;3.25;2;"Fairness";"Right"
"Female";27;"USA";4;"After";5.25;5.5;4.75;4.75;4.5;"Purity";"Right"
"Male";27;"India";5;"After";4.75;4.25;5.5;4.75;4;"Control_descriptive";"Wrong"
"Male";25;"USA";1;"Before";3;5.75;2.25;2.25;1.5;"Control_deontic";"Wrong"
"Male";31;"USA";4;"Before";2.5;4.5;2.25;1.25;1;"Control_deontic";"Wrong"
"Male";55;"USA";5;"Before";4.75;5.25;6;4.75;4;"Fairness";"Right"
"Male";23;"USA";4;"After";4.25;4.5;3;3;3.5;"Harm";"Wrong"
"Male";34;"India";2;"After";4.5;5;5;4.75;3.75;"Fairness";"Right"
"Female";26;"India";5;"After";3.75;4.75;4.5;4;4;"Loyalty";"Right"
"Male";27;"Other";2;"Before";5.25;5.25;3;2.25;4;"Authority";"Right"
"Male";42;"USA";1;"Before";4.75;5.5;3.25;4.75;4.75;"Fairness";"Right"
"Female";49;"USA";3;"After";5.75;5.5;3.75;3.25;2.75;"Control_deontic";"Wrong"
"Male";27;"USA";3;"After";5.25;5;2.75;4;1.5;"Purity";"Right"
"Male";24;"USA";4;"Before";3.75;4.75;4.5;3.75;3.75;"Control_descriptive";"Wrong"
"Male";49;"USA";2;"Before";4.5;5;3.5;3.75;2.25;"Harm";"Right"
"Male";31;"USA";2;"After";4.25;4.5;3;2.5;2;"Control_descriptive";"Wrong"
"Female";47;"USA";5;"After";4.75;4.75;4.25;4.75;4.5;"Purity";"Right"
"Female";29;"USA";2;"After";6;5.25;2.75;2.25;1;"Fairness";"Right"
"Female";47;"USA";2;"Before";5.5;5.5;3;2.75;1.25;"Control_deontic";"Right"
"Female";28;"USA";3;"After";6;6;2.75;5;5.5;"Harm";"Wrong"
"Female";27;"USA";3;"After";5.25;5.25;3.25;2.5;1.25;"Control_descriptive";"Right"
"Male";25;"USA";3;"Before";4.75;4.75;3.25;4.25;3.5;"Harm";"Right"
